company_id,file_name,section,overall_sentiment,sentiment_score,confidence,chunk_count,positive_ratio,negative_ratio
1389067,1389067_10K_2020_0001477932-21-001762.json,item_7,Negative,-0.17,1.0,22,0.05,0.23
1389067,1389067_10K_2020_0001477932-21-001762.json,item_1A,Neutral,0.0,1.0,1,0.0,0.0
1392972,1392972_10K_2020_0001392972-21-000039.json,item_7,Neutral,-0.05,1.0,84,0.1,0.14
1392972,1392972_10K_2020_0001392972-21-000039.json,item_1A,Negative,-0.46,1.0,108,0.06,0.61
1393052,1393052_10K_2021_0001393052-21-000015.json,item_7,Neutral,0.04,1.0,83,0.17,0.12
1393052,1393052_10K_2021_0001393052-21-000015.json,item_1A,Negative,-0.4,1.0,176,0.06,0.54
1401680,1401680_10K_2020_0001401680-21-000011.json,item_7,Neutral,-0.03,1.0,79,0.16,0.19
1401680,1401680_10K_2020_0001401680-21-000011.json,item_1A,Negative,-0.48,1.0,173,0.02,0.61
1402436,1402436_10K_2020_0001564590-21-008862.json,item_7,Negative,-0.06,1.0,112,0.12,0.2
1402436,1402436_10K_2020_0001564590-21-008862.json,item_1A,Negative,-0.42,1.0,139,0.0,0.53
1404655,1404655_10K_2020_0001564590-21-006083.json,item_7,Positive,0.14,1.0,91,0.31,0.15
1404655,1404655_10K_2020_0001564590-21-006083.json,item_1A,Negative,-0.47,1.0,193,0.03,0.6
1408278,1408278_10K_2020_0001408278-21-000050.json,item_7,Negative,-0.13,1.0,70,0.09,0.24
1408278,1408278_10K_2020_0001408278-21-000050.json,item_1A,Negative,-0.48,1.0,92,0.03,0.6
1410384,1410384_10K_2020_0001410384-21-000022.json,item_7,Positive,0.07,1.0,238,0.24,0.16
1410384,1410384_10K_2020_0001410384-21-000022.json,item_1A,Negative,-0.47,1.0,230,0.04,0.6
1418100,1418100_10K_2021_0001418100-21-000095.json,item_7,Neutral,-0.02,1.0,89,0.18,0.19
1418100,1418100_10K_2021_0001418100-21-000095.json,item_1A,Negative,-0.37,1.0,164,0.05,0.49
1423774,1423774_10K_2021_0001423774-21-000020.json,item_7,Neutral,-0.03,1.0,98,0.19,0.22
1423774,1423774_10K_2021_0001423774-21-000020.json,item_1A,Negative,-0.44,1.0,258,0.07,0.59
1433195,1433195_10K_2020_0001433195-21-000024.json,item_7,Positive,0.14,1.0,85,0.25,0.09
1433195,1433195_10K_2020_0001433195-21-000024.json,item_1A,Negative,-0.43,1.0,128,0.07,0.59
1437352,1437352_10K_2020_0001564590-21-009422.json,item_7,Neutral,0.02,1.0,126,0.12,0.1
